Produs,Lot intrare,Cantitate
CYABY-F 5X10 NEGRU,##E1200 INALT CABTEC 0-1017 1017 M,0.14
CYABY-F 5X10 NEGRU,##E1200 INALT CABTEC 0-1021 1021 M,0.165
CYABY-F 5X10 NEGRU,##E1200 INALT CABTEC 0-1028 1028 M,1.028
CYABY-F 5X10 NEGRU,##E1200 INALT CABTEC 1019-2053 1034 M,1.034
CYABY-F 5X10 NEGRU,##E1250 EL GROUP 1827-1015 812 M,0.06
CYABY-F 5X10 NEGRU,##E1400 CABTEC 0-908 908 M,0.061
CYABY-F 5X10 NEGRU,##E1400 ENG 0-2000 2000 M,2
CYABY-F 5X10 NEGRU,##E1400 ENG 2000-3300 1300 M,0.054
CYABY-F 5X10 NEGRU,##E1600 ENG 0-2621 2621 M,2.621
CYABY-F 5X10 NEGRU,COLAC CABTEC 642-742 100 M,0.1
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 1-501 500 M,0.5
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 3061-3326 265 M,0.04
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 3852-3539 313 M,0.059
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 502-2 500 M,0.5
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 503-985 482 M,0.482
CYABY-F 5X16 NEGRU,##E1200 EL GROUP 789-73 716 M,0.716
CYABY-F 5X16 NEGRU,##E1200 INALT CABTEC 0-1019 1019 M,0.069
CYABY-F 5X16 NEGRU,##E1250 EL GROUP 1374-710 664 M,0.664
CYABY-F 5X16 NEGRU,##E1250 EL GROUP 613-2 611 M,0.611
CYABY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-1002 1002 M,1.002
CYABY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-1013 1013 M,1.013
CYABY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-988 988 M,0.988
CYABY-F 5X16 NEGRU,##E1400 EL GROUP 1977-1007 970 M,0.068
CYABY-F 5X16 NEGRU,##E1600 EL GROUP 1425-2416 991 M,0.991
CYABY-F 5X16 NEGRU,##E1600 ENG 0-1668 1668 M,1.668
CYABY-F 5X16 NEGRU,##E1600 ENG 1-1673 1672 M,1.672
CYABY-F 5X16 NEGRU,##E900 EL GROUP 1759-1375 384 M,0.164
CYABY-F 5X2.5 NEGRU,##E1200 ENG 0-812 812 M,0.812
CYABY-F 5X2.5 NEGRU,##E1400 ENG 0-3368 3368 M,3.368
CYABY-F 5X25 NEGRU,## E1000 ENERGO,0.054
CYABY-F 5X25 NEGRU,##E1250 PRYSMIAN 134 M,0.084
CYABY-F 5X25 NEGRU,##E1400 PRYSMIAN 0-344 344 M,0.058
CYABY-F 5X25 NEGRU,##E1600 ENG 0-1009 1009 M,1.009
CYABY-F 5X25 NEGRU,##E1600 ENG 0-932 932 M,0.932
CYABY-F 5X25 NEGRU,##E1800 PRYSMIAN 0-1002 1002 M,0.452
CYABY-F 5X25 NEGRU,COLAC ENG 34 ML,0.024
CYABY-F 5X25 NEGRU,E2200 MET PRYSMIAN 0-1036 1036 M,1.036
CYABY-F 5X25 NEGRU,E2200 MET PRYSMIAN 3-1004 1001 M,1.001
CYABY-F 5X35 NEGRU,##E1800 TM ELECTRO 0-1000 1000 M,0.273
CYABY-F 5X35 NEGRU,##E2000 TM ELECTRO 0-1000 1000 M,1
CYABY-F 5X4 NEGRU,##E1200 CABTEC 800-1425 625 M,0.625
CYABY-F 5X4 NEGRU,##E1200 EL GROUP 7981-5981 2000 M,2
CYABY-F 5X4 NEGRU,##E1200 ENG 0-2100 2100 M,0.445
CYABY-F 5X4 NEGRU,##E1250 EL GROUP 1981-2 1979 M,0.767
CYABY-F 5X4 NEGRU,##E1250 EL GROUP 4984-3003 1981 M,1.981
CYABY-F 5X4 NEGRU,##E1400 ENG 0-3068 3068 M,3.068
CYABY-F 5X4 NEGRU,##E800 EL. GROUP 275 M,0.073
CYABY-F 5X6 NEGRU,##E1400 ENG 0-3050 3050 M,3.05
CYABY-F 5X6 NEGRU,##E800 ENG 200 ML,0.054
CYABZY-F 3X4,##E800 ELP 346 ML,0.276
CYY-F 1X240 NEGRU,##E1700 POWERVINE 260-1441 1181 M,0.537
CYY-F 2X1.5,##E700 TT CABLES BG 0-1000 1000 M,0.9
CYY-F 2X1.5,##E700 TT CABLES BG 0-1000 1000 M,1
CYY-F 2X1.5,##E700 TT CABLES BG 0-388 388 M,0.188
CYY-F 2X1.5,##E700 TT CABLES BG 0-580 580 M,0.08
CYY-F 2X1.5,##E700 TT CABLES BG 0-585 585 M,0.17
CYY-F 2X1.5,TT CABLES BG 0-500 500 M,1
CYY-F 2X1.5 C100,EL GROUP 0-100 100 M,8
CYY-F 2X1.5 T1000,COLAC TTCABLES  130 M,0.08
CYY-F 2X2.5,##E1000 MCB 2888 ML,2.588
CYY-F 2X2.5 NEGRU,## E1200 ENERGO 3114ML,0.157
CYY-F 2X2.5 NEGRU,## E700 CABTEC 945-1000 55 M,0.055
CYY-F 3X1.5,# TT CABLES BG 0-450 450 M,0.078
CYY-F 3X1.5,##E1000 ENG 0-2842 2842 M,2.842
CYY-F 3X1.5,##E1000 ENG 0-3222 3222 M,3.222
CYY-F 3X1.5,##E1000 ENG 10000-13000 3000 M,3
CYY-F 3X1.5,##E1000 ENG 2500-5000 2500 M,0.67
CYY-F 3X1.5,##E1000 ENG 7000-10000 3000 M,3
CYY-F 3X1.5,##E1000 ENG 7500-10000 2500 M,2.5
CYY-F 3X1.5,##E800 ENG 2000-3000 1000 M A,0.05
CYY-F 3X1.5,COLAC EL GROUP 60 ML,0.05
CYY-F 3X1.5,COLAC EL.GROUP 48ML,0.048
CYY-F 3X1.5,COLAC EL.GROUP 94 ML,0.054
CYY-F 3X1.5 C100,0-100 100 M TT CABLES,0.1
CYY-F 3X1.5 C100,ENG 0-100 100 M,16.8
CYY-F 3X1.5 T1000,##E800 ENG 0-1000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 10000-11000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 1000-2000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 2000-3000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 3000-4000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 4000-5000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 5000-6000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 6000-7000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 7000-8000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 8000-9000 1000 M,1
CYY-F 3X1.5 T1000,##E800 ENG 9000-10000 1000 M,1
CYY-F 3X10,COLAC EL GROUP 80 M,0.06
CYY-F 3X10 NEGRU,##E ENG 0-2977 977 M,0.95
CYY-F 3X10 NEGRU,##E1400 ENG 0-2929 2929 M,2.929
CYY-F 3X10 NEGRU,##E1400 ENG 0-3042 3042 M,3.041
CYY-F 3X10 NEGRU,COLAC CABTEC 11 ML,0.011
CYY-F 3X10 NEGRU,COLAC CABTEC 15 ML,0.015
CYY-F 3X10 NEGRU,COLAC EL GROUP 57 M,0.057
CYY-F 3X120+70 NYY-J,##E2200 METALIC PRYSMIAN 0-1018 1018 M,0.246
CYY-F 3X120+70 NYY-J,##E2400 TT CABLES HR 0-1029 1029 M,1.029
CYY-F 3X150+70 NYY-J,##E1200  PRYSMIAN 85 M,0.049
CYY-F 3X150+70 NYY-J,##E1400 PRYSMIAN 85 M,0.042
CYY-F 3X16 NEGRU,##E1200 INALT 1699 ML,0.039
CYY-F 3X16 NEGRU,COLCA CABTEC 100ML,0.033
CYY-F 3X185+95 NYY-J,##E1400 PRYSMIAN 97 M,0.052
CYY-F 3X185+95 NYY-J,##E1600 200M PRYSMIAN,0.16
CYY-F 3X185+95 NYY-J,##E2000 METALIC PRYSMIAN,0.05
CYY-F 3X2.5,## E700 ELECTRIC GROUP 5307-5252 55 M,0.055
CYY-F 3X2.5,##E1000 ENG 0-2784 2784 M,0.184
CYY-F 3X2.5,##E1000 ENG 0-2785 2785 M,2.785
CYY-F 3X2.5,##E1000 ENG 2500-5000 2500 M A,1.76
CYY-F 3X2.5,##E1000 ENG 2500-5000 2500 M B,2.5
CYY-F 3X2.5,##E1000 ENG 7000-10349 3349 M,1.349
CYY-F 3X2.5,##E1000 ENG 7500-10485 2985 M,2.985
CYY-F 3X2.5,##E1000 ENG 7500-10658 3158 M,3.158
CYY-F 3X2.5,##E800 ENG 10470-9000 1470 M,0.2
CYY-F 3X2.5,##E800 ENG 1210 M,0.06
CYY-F 3X2.5,COLAC 60 ML EL GROUP,0.06
CYY-F 3X2.5,COLAC EL. GROUP 43 ML,0.043
CYY-F 3X2.5,COLAC ELECTRIC GROUP 10 ML,0.008
CYY-F 3X2.5,COLAC ENG 140 M,0.04
CYY-F 3X2.5,COLAC ENG 165 M,0.065
CYY-F 3X2.5,COLAC ENG 292 M,0.057
CYY-F 3X2.5,COLAC ENG 63 ML,0.063
CYY-F 3X2.5 C100,ENG 0-100 100 M,0.2
CYY-F 3X2.5 C100,ENG 0-100 100 M,4.8
CYY-F 3X2.5 C100,ENG 0-100 100 M,5
CYY-F 3X2.5 C100,ENG 0-100 100 M,5.2
CYY-F 3X2.5 EYY-J,PLACAJ,0.04
CYY-F 3X2.5 T1000,##E800 ENG 0-1000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 10000-11000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 1000-2000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 11000-12000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 2000-3000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 3000-4000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 4000-5000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 5000-6000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 6000-7000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 7000-8000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 8000-9000 1000 M,1
CYY-F 3X2.5 T1000,##E800 ENG 9000-10000 1000 M,1
CYY-F 3X240+120 NYY-J,##E1600 PRYSMIAN 135 M,0.048
CYY-F 3X240+120 NYY-J,##E2200 METALIC PRYSMIAN 0-512 512 M,0.022
CYY-F 3X25+16 NYY-J,##E1400 PRYSMIAN 1007-0 1007 M,0.271
CYY-F 3X35+16 NYY-J,##E1000 PRYSMIAN 50 ML,0.05
CYY-F 3X35+16 NYY-J,##E1200 PRYSMIAN 320 M,0.073
CYY-F 3X50+25 NYY-J,##E1400 TT CABLES 394 M,0.055
CYY-F 3X50+25 NYY-J,##E1400 TT CABLES HR 0-532 532 M,0.04
CYY-F 3X50+25 NYY-J,##E2000 TT CABLES HR 0-1500 1500 M,1.488
CYY-F 3X6 T1000,COLAC TT CABLES  54 M,0.054
CYY-F 3X70+35 NYY-J,##E1400  PRYSMIAN 196 M,0.052
CYY-F 3X70+35 NYY-J,##E1800 MET PRYSMIAN 0-1012 1012 M,0.1
CYY-F 3X70+35 NYY-J,##E1800 MET PRYSMIAN 0-1025 1025 M,0.899
CYY-F 3X70+35 NYY-J,##E2000 TT CABLES HR 0-1509 1509 M,1.509
CYY-F 3X95+50 NYY-J,## E1400 PRYSMIAN 80-133 53 M,0.053
CYY-F 3X95+50 NYY-J,##E1400 PRYSMIAN 231 ML,0.032
CYY-F 3X95+50 NYY-J,##E2000 MET PRYSMIAN 0-1020 1020 M,0.563
CYY-F 3X95+50 NYY-J,##E2400 TT CABLES HR 0-1552 1552 M,1.552
CYY-F 4X1.5,##E1000 EL.GROUP 3027-2 3025 M,0.125
CYY-F 4X1.5,##E1000 EL.GROUP 3539-539 3000 M,1.3
CYY-F 4X1.5,##E1000 EL.GROUP 8962-6003 2959 M/HALA B,0.269
CYY-F 4X1.5,#PLACAJ EL.GROUP 2592-2550 42 M,0.042
CYY-F 4X1.5,COLAC EL.GROUP 112 M,0.062
CYY-F 4X1.5,COLAC EL.GROUP 178 M,0.083
CYY-F 4X1.5,COLAC EL.GROUP 195 M,0.045
CYY-F 4X1.5,COLAC EL.GROUP 81 M,0.081
CYY-F 4X1.5 NYY-FR,##E800 POWERVINE 0-761 761 M,0.091
CYY-F 4X1.5 NYY-FR,##E900 POWERVINE 0-1002 1002 M,0.802
CYY-F 4X1.5 NYY-FR,##E900 POWERVINE 0-1030 1030 M,1.03
CYY-F 4X1.5 NYY-FR,##E900 POWERVINE 0-920 920 M,0.245
CYY-F 4X1.5 NYY-FR,E600 POWERVINE 0-221  221 M,0.221
CYY-F 4X16 NEGRU,COLAC EL GROUP 74 M,0.039
CYY-F 4X2.5,COLAC EL.GROUP 270 M,0.05
CYY-F 4X2.5,COLAC EL.GROUP 55 M,0.04
CYY-F 4X2.5,COLAC EL.GROUP 78 M,0.048
CYY-F 4X2.5,COLAC MCAB 109 M,0.109
CYY-F 4X2.5,PLACAJ EL.GROUP 999 M,0.999
CYY-F 4X2.5 C100,TT CABLES 0-100 100 M,1.6
CYY-F 4X2.5 NEGRU,##E1000 EL.GROUP 6010-3010 3000 M/HALA B,1.58
CYY-F 4X2.5 NEGRU,COLAC EL.GROUP 193 M,0.148
CYY-F 4X2.5 NYY-FR,##E1000 POLYTRADE 0-1016 1016 M,0.816
CYY-F 4X2.5 NYY-FR,##E1000 POWERVINE 0-1019 1019 M,1.019
CYY-F 4X2.5 NYY-FR,##E1000 POWERVINE 0-1048 1048 M,1.048
CYY-F 4X2.5 NYY-FR,##E1000 POWERVINE 0-925 925 M,0.925
CYY-F 4X2.5 NYY-FR,##E1000 POWERVINE 0-999 999 M,0.999
CYY-F 4X2.5 T500,TT CABLES 0-500 500 M,2
CYY-F 4X4 EYY-J,## E900 PRYSMIAN 999 ML,0.045
CYY-F 4X4 NEGRU,##E1200 ELP 0-1568 1568 M,0.14
CYY-F 4X4 NEGRU,##E1600 ELP 0-2500 2500 M,1.025
CYY-F 4X4 NEGRU,COLAC ELP 80 ML,0.06
CYY-F 4X6 NEGRU,##E1600 ELP 0-3950 3950 M,3.32
CYY-F 4X6 NEGRU,COLAC ELP 94 M,0.094
CYY-F 5X1.5,##E1000 EL.GROUP 650ML,0.65
CYY-F 5X1.5,##E1200 EL GROUP 10606-7606 3000 M/HALA B,0.305
CYY-F 5X1.5,##E1200 EL GROUP 13567-10609 2958 M/HALA B,0.108
CYY-F 5X1.5,##E1200 EL.GROUP 4000 ML A,0.063
CYY-F 5X1.5,##E1200 EL.GROUP 4000 ML B,0.065
CYY-F 5X1.5,COLAC EL GROUP 44 ML,0.044
CYY-F 5X1.5,COLAC EL.GROUP 60 ML,0.06
CYY-F 5X1.5,TT CABLES BG 0-460 460 M,0.46
CYY-F 5X1.5 NEGRU,##E1000 EL.GROUP 2021 ML,0.151
CYY-F 5X1.5 NYY-FR,##E1000 POWERVINE 0-1009 1009 M,1.009
CYY-F 5X1.5 NYY-FR,##E1000 POWERVINE 0-1016 1016 M,1.016
CYY-F 5X1.5 NYY-FR,##E1000 POWERVINE 0-1017 1017 m,1.017
CYY-F 5X1.5 NYY-FR,##E1000 POWERVINE 0-1088 1088 M,1.088
CYY-F 5X1.5 NYY-FR,##E1000 POWERVINE 998-50 948 M,0.448
CYY-F 5X1.5 NYY-FR,##E700 POWERVINE 0-257 257 M,0.257
CYY-F 5X1.5 NYY-FR,##E800 POWERVINE 0-677 677 M,0.247
CYY-F 5X1.5 T500,0-500 500 M,0.12
CYY-F 5X1.5 T500,TT CABLES BG 0-500 500 M,0.5
CYY-F 5X10,##E1200 TT CABLE BG 0-807 807 M,0.807
CYY-F 5X10,##E1200 TT CABLES BG 0-1000 1000 M,1
CYY-F 5X10,##E1200 TT CABLES BG 0-1020 1020 M,1.02
CYY-F 5X10,##E1200 TT CABLES BG 0-1025 1025 M,1.025
CYY-F 5X10,##E800 TT CABLES 0-360 360 M,0.11
CYY-F 5X10,##E900 TT CABLES BG 0-322 322 M,0.068
CYY-F 5X10 NEGRU,##E1200 CABTEC INALT 0-1539 1539 M,1.129
CYY-F 5X10 NEGRU,##E1200 CABTEC INALT 1545-0 1545 M,1.545
CYY-F 5X10 NEGRU,##E1400 ENG 0-2030 2030 M,0.104
CYY-F 5X10 NEGRU,##E1400 ENG 3-2077 2074 M,2.074
CYY-F 5X16 NEGRU,##E1200 EL GROUP 1077-2133 1056 M,1.056
CYY-F 5X16 NEGRU,##E1200 EL GROUP 2955-3936 981 M,0.082
CYY-F 5X16 NEGRU,##E1250 EL GROUP 1075-2 1073 M,1.073
CYY-F 5X16 NEGRU,##E1250 EL GROUP 2952-1967 985 M,0.535
CYY-F 5X16 NEGRU,##E1250 EL GROUP 4959-3939 1020 M,1.02
CYY-F 5X16 NEGRU,##E1250 EL GROUP 5981-4961 1020 M,1.02
CYY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-1001 1001 M,1.001
CYY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-1008 1008 M,1.008
CYY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-1020 1020 M,1.02
CYY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-995 995 M,0.211
CYY-F 5X16 NEGRU,##E1600 ENG 0-2258 2258 M,2.258
CYY-F 5X16 NEGRU,##E700 EL GROUP 56 M,0.056
CYY-F 5X2.5,##E1250 EL GROUP 9536-6013 3523 M,3.523
CYY-F 5X2.5,COLAC  EL GROUP 55 M,0.055
CYY-F 5X2.5,COLAC EL.GROUP 46 ML,0.046
CYY-F 5X2.5 NEGRU,##E1200 EL GROUP 15319-12128 3191 M,0.086
CYY-F 5X2.5 NYY-FR,##E1000 POWERVINE 0-1004 1004 M,0.144
CYY-F 5X2.5 NYY-FR,##E1000 POWERVINE 0-1006 1006 M,0.056
CYY-F 5X2.5 NYY-FR,##E1000 POWERVINE 0-1012 1012 M,0.812
CYY-F 5X2.5 NYY-FR,##E1000 POWERVINE 0-1033 1033 M,1.033
CYY-F 5X2.5 NYY-FR,##E600 POWERVINE 230ML,0.23
CYY-F 5X2.5 NYY-FR,##E900 POWERVINE 215 M,0.115
CYY-F 5X2.5 NYY-FR,COLAC POWERVINE 88 M,0.088
CYY-F 5X25 NYY-J,##E2000 TT CABLES HR 0-1839 1839 M,1
CYY-F 5X25 NYY-J,##E2000 TT CABLES HR 0-2030 2030 M,2.03
CYY-F 5X35 NYY-J,##E2000 TT CABLES HR 0-2047 2047 M,1.362
CYY-F 5X4,TT CABLES BG 0-500 500 M,0.2
CYY-F 5X4 NEGRU,##E1200 ENG 3000 M,0.057
CYY-F 5X4 NEGRU,##E1600 ELP 0-3834 3834 M,3.834
CYY-F 5X4 NEGRU,##E1800 ELP 0-5260 5260 M,0.057
CYY-F 5X4 NYY-FR,##E1000 POWERVINE 0-1028 1028 M,1.028
CYY-F 5X4 NYY-FR,##E1000 POWERVINE 3-974 971 M,0.055
CYY-F 5X4 T500,TT CABLES BG 0-500 500 M,7.5
CYY-F 5X6 NEGRU,##E1600 ELP 0-2602 2602 M,0.102
CYY-F 5X6 NEGRU,##E1800 ELP 21-4228 4207 M,4.207
